#Sat Sep 25 01:27:26 2021
# copy the contents of this file into (location TBD) to update CODA thresholds for detector bb.gem
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms (for average over time samples)
APV               20              11               7               0
              82          0.3869           7.215
              83          0.5411           5.979
              84         -0.8069           6.427
              85          -1.393           6.228
              86          0.8708           6.207
              87          0.2893           6.137
              88          -1.095           6.053
              89         -0.5749           6.489
              90          0.7577           5.898
              91          0.5514           6.656
              92        -0.05947            6.12
              93         -0.6256           7.016
              94          0.7761           5.569
              95         -0.3407           8.239
              96         -0.1344           6.384
              97         -0.5316           6.147
              98         -0.9457           7.522
              99          0.8502            7.88
             100          -1.322           6.475
             101         -0.9295           5.825
             102         -0.2034           6.817
             103         -0.3385           7.035
             104         0.01028           6.999
             105          -1.126           6.678
             106           0.801            7.14
             107          0.2342           7.974
             108         -0.8142           6.428
             109          0.6527           6.629
             110          -0.152           6.933
             111          0.8267           8.797
             112         -0.3891           6.343
             113         -0.7026           6.045
             114           1.133           6.535
             115          0.4559           5.814
             116         -0.9251           6.349
             117          -1.294           6.036
             118          0.1395            5.86
             119         0.09251           6.052
             120          -1.412           6.007
             121         -0.8363           6.131
             122           0.754           5.608
             123            1.04           7.283
             124         -0.6138           5.646
             125         -0.4993           7.732
             126         -0.0536           5.789
             127          0.6123           8.993
APV               20              11               7               5
               0          -1.956           43.58
               1           1.151           37.71
               2          0.5154           35.22
               3          -3.024           34.84
               4          -1.363           12.08
               5         -0.4222           9.027
               6         -0.2129           9.685
               7         -0.3436           7.853
               8         -0.3825           8.076
               9         -0.9912           6.197
              10           1.014           7.073
              11          0.4765           7.213
              12        -0.04699           6.758
              13         -0.6432           5.808
              14         -0.1601           7.026
              15         -0.2195           8.101
              16          0.2203           6.645
              17           -1.22           7.505
              18           2.372           9.232
              19          0.1065            6.11
              20         -0.9523           6.684
              21            -1.3           6.566
              22           1.156           6.618
              23           1.413           5.864
              24          -1.265           7.444
              25          -0.304           6.532
              26           1.321            5.98
              27          0.5389            6.45
              28           -1.23           7.241
              29          0.5815           6.749
              30          0.4721           5.989
              31           1.483           7.158
